,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_term,util_p_total,util_p_uexec
0,,,956.04652094841,4.629070997238159,49.69693994522095,11.545970916748047,4.746677875518799,4.745656967163086,38.1509690284729,906.3495810031891,6.799293041229248,0.0010209083557128906,0.11658596992492676,exp2,summit.olcf.ornl.gov,168,2,pilot.0000,rp.session.login1.mturilli1.018107.0000,12.365999937057495,7.309606075286865,929.4618999958038,907.2136449813843
0,,,978.7215390205383,5.380795001983643,68.50214409828186,13.035692930221558,5.4991679191589355,5.4982099533081055,55.4664511680603,910.2193949222565,7.536525011062622,0.0009579658508300781,0.11741495132446289,exp2,summit.olcf.ornl.gov,168,1,pilot.0000,rp.session.login1.mturilli1.018106.0007,9.947999954223633,8.070743083953857,939.6735999584198,911.4553818702698
0,,,955.365690946579,4.943595886230469,46.179330825805664,11.728806972503662,5.062052011489868,5.060935974121094,34.450523853302,909.1863601207733,6.666754961013794,0.001116037368774414,0.117340087890625,exp2,summit.olcf.ornl.gov,168,4,pilot.0000,rp.session.login1.mturilli1.018107.0002,10.046799898147583,8.52600622177124,933.1507000923157,910.9241840839386
0,,,2019.3941721916199,4.7632410526275635,1110.2849361896515,11.819378137588501,4.883515119552612,4.8822340965271,1098.465558052063,909.1092360019684,6.935863018035889,0.0012810230255126953,0.11899304389953613,exp2,summit.olcf.ornl.gov,168,8,pilot.0000,rp.session.login1.mturilli1.018107.0003,13.463599920272827,11.39999794960022,939.6784999370575,910.0311388969421
0,,,965.1732878684998,4.720990896224976,56.531846046447754,12.280097007751465,4.8386008739471436,4.83767294883728,44.25174903869629,908.641441822052,7.441496133804321,0.0009279251098632812,0.11668205261230469,exp2,summit.olcf.ornl.gov,168,16,pilot.0000,rp.session.login1.mturilli1.018107.0004,12.959800004959106,9.401633024215698,942.1092000007629,910.1875967979431
0,,,1461.6839580535889,4.5436460971832275,549.4270210266113,11.09363317489624,4.661343097686768,4.66043496131897,538.3333878517151,912.2569370269775,6.432290077209473,0.0009081363677978516,0.11678886413574219,exp2,summit.olcf.ornl.gov,168,32,pilot.0000,rp.session.login1.mturilli1.018107.0005,11.01639986038208,7.331153869628906,934.4197998046875,913.6955771446228
0,,,966.3572080135345,7.555312871932983,49.9600350856781,14.024286031723022,7.671885013580322,7.671082019805908,35.93574905395508,916.3971729278564,6.3524010181427,0.0008029937744140625,0.1157691478729248,exp2,summit.olcf.ornl.gov,336,64,pilot.0000,rp.session.login1.mturilli1.018107.0006,11.20359992980957,9.664404153823853,940.5692000389099,917.1145298480988
0,,,997.3467390537262,4.755433082580566,75.78530502319336,11.532388925552368,4.871340990066528,4.870512962341309,64.25291609764099,921.5614340305328,6.66104793548584,0.0008280277252197266,0.11507987976074219,exp2,summit.olcf.ornl.gov,672,128,pilot.0000,rp.session.login1.mturilli1.018107.0007,10.78189992904663,8.772357940673828,951.9224998950958,922.7471029758453
0,,,996.6805770397186,5.725793123245239,57.63076090812683,12.869282007217407,5.844357967376709,5.843410015106201,44.761478900909424,939.0498161315918,7.024924039840698,0.0009479522705078125,0.11761689186096191,exp2,summit.olcf.ornl.gov,1176,256,pilot.0000,rp.session.login1.mturilli1.018107.0008,11.263799905776978,7.112534284591675,968.9005000591278,940.0784649848938
0,,,5298.402596950531,4.493889808654785,4329.5388078689575,19.390390872955322,4.609055995941162,4.6082539558410645,4310.148416996002,968.8637890815735,14.78133487701416,0.0008020401000976562,0.1143641471862793,exp2,summit.olcf.ornl.gov,2184,512,pilot.0000,rp.session.login1.mturilli1.018107.0009,15.83080005645752,9.664268016815186,1005.0752000808716,969.8995230197906
0,,,2471.0729780197144,6.098620176315308,1472.175518989563,19.369199991226196,6.223612070083618,6.2207701206207275,1452.8063189983368,998.8974590301514,13.145587921142578,0.002841949462890625,0.12214994430541992,exp2,summit.olcf.ornl.gov,4200,1024,pilot.0000,rp.session.login1.mturilli1.018107.0010,14.940600156784058,9.305065870285034,1032.2792000770569,1000.7003710269928
0,,,1126.0199139118195,5.120635986328125,123.41740489006042,13.408905982971191,5.236083030700684,5.235095024108887,110.00849890708923,1002.602509021759,8.172822952270508,0.000988006591796875,0.11445903778076172,exp2,summit.olcf.ornl.gov,8232,2048,pilot.0000,rp.session.login1.mturilli1.018107.0012,13.128499984741211,10.058976888656616,1029.8393998146057,1003.9955389499664
