,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_cu,util_u_exec_rp,util_u_pre_exec,util_u_total
rp.session.login4.mturilli1.018119.0001,4.6039698123931885,60.692945957183845,1048.5325319766996,5.874566078186035,0.0007691383361816406,0.11484599113464355,1565889807.590769,1021.0410611629486,8.79423999786377,120.74841499328613,4.312266826629639,0.12984204292297366,3.7267580032348633,1020.7195250988008,exp4,4368,4368,1,1,1,1024,1024,0,rp.session.login4.mturilli1.018119.0001,9.942300081253054,9.30256700515747,1101.1849000453951,1050.3103818893433,108.81633019447328,120.75465106964113,21.416744947433468,42.84543442726135,0,1021.0458059310913
rp.session.login4.mturilli1.018122.0002,8.441921234130861,76.43465495109558,2044.4364449977875,8.309417963027954,0.0009469985961914062,0.11588597297668456,1565891296.6922462,2015.8854870796204,63.95757126808167,1115.515806913376,59.0871422290802,2.0771501064300537,44.267951011657715,2015.6803359985352,exp4,33936,33936,1,1,1,8192,8192,0,rp.session.login4.mturilli1.018122.0002,11.958699941635132,8.343206882476808,2098.212899923325,2046.0965600013733,861.3220562934875,1115.5279288291933,43.59730529785156,308.2195861339568,0,2015.897304058075
rp.session.login4.mturilli1.018122.0003,5.766840934753418,2071.152020931244,2039.319342136383,10.49737787246704,0.0009272098541259766,0.11518383026123047,1565889329.947246,2014.6274762153625,63.80966377258301,1114.2137649059296,58.83020997047424,1.915521144866944,38.19489693641663,2014.4031701087952,exp4,33936,33936,1,1,1,8192,8192,0,rp.session.login4.mturilli1.018122.0003,11.130100011825562,8.397848844528196,2093.8629999160767,2042.3518650531769,860.0345811843872,1114.2271680831911,43.040304899215705,308.06319999694824,0,2014.6391620635986
rp.session.login4.mturilli1.018127.0001,5.127570867538452,3988.262030124664,1208.6723489761353,7.303847074508668,0.0007808208465576173,0.11638712882995605,1566235211.323794,1179.786395072937,8.182701110839844,279.4909951686859,6.903046131134032,0.5892150402069092,13.58644413948059,1179.5911900997162,exp4,8568,8568,1,1,1,2048,2048,0,rp.session.login4.mturilli1.018127.0001,15.34310007095337,11.247425079345703,1272.1054000854492,1213.8603718280792,217.65030384063718,279.49646210670466,10.373845338821413,75.25462055206299,0,1179.7916369438174
rp.session.login4.mturilli1.018123.0002,5.500194072723389,1285.992753982544,1203.3404529094694,8.408843994140625,0.0008330345153808594,0.11808300018310547,1565890296.9262204,1176.958459854126,8.270750999450684,276.6434471607208,6.976947069168091,2.7870078086853027,90.71438312530519,1176.7318031787872,exp4,8568,8568,1,1,1,2048,2048,0,rp.session.login4.mturilli1.018123.0002,16.950999975204468,14.151663064956665,1267.3436000347135,1204.458127975464,214.59674310684204,276.6492440700531,10.402998447418213,75.60922408103944,0,1176.9637360572815
rp.session.login4.mturilli1.018123.0001,6.1449079513549805,63.58372402191162,1369.9484238624573,7.020251035690308,0.0008299350738525393,0.1184561252593994,1565891501.660935,1038.55757188797,3.3549699783325195,138.24494791030884,2.7385377883911133,0.2524759769439697,4.570116996765137,1038.3274629116056,exp4,4368,4368,1,1,1,1024,1024,0,rp.session.login4.mturilli1.018123.0001,11.736199855804445,7.834868907928468,1424.3632998466492,1373.2087650299072,107.93010926246643,138.24930906295776,5.186288595199585,37.038923025131226,0,1038.561508178711
rp.session.login4.mturilli1.018127.0002,7.585383176803589,4690.818647146225,1201.3535227775576,6.8980090618133545,0.0009238719940185547,0.11561894416809082,1566241632.1753619,1176.348416805267,8.060019016265871,276.0792903900146,6.873186826705933,0.5829761028289795,7.4610159397125235,1176.1654191017149,exp4,8568,8568,1,1,1,2048,2048,0,rp.session.login4.mturilli1.018127.0002,87.13159990310669,9.221009016036989,1331.680999994278,1203.4763629436493,214.0074005126953,276.0846800804138,10.404900074005127,75.42019796371459,0,1176.3536849021914
rp.session.login4.mturilli1.018128.0000,4.7135090827941895,1382.773372888565,1475.93599319458,6.189558029174805,0.0009140968322753906,0.12014484405517578,1566265698.973371,1453.296552181244,21.301801919937134,552.9878647327423,18.912896394729614,1.0458240509033203,14.05324101448059,1453.0875589847565,exp4,16968,16968,1,1,1,4096,4096,0,rp.session.login4.mturilli1.018128.0000,10.08430004119873,8.260187864303589,1531.2427999973295,1481.2570672035215,428.84700560569763,552.9955358505249,21.236801862716675,151.1412489414215,0,1453.303946018219
rp.session.login4.mturilli1.018128.0001,4.555936098098755,831.7880890369415,1482.2705538272858,7.1334450244903564,0.0007700920104980469,0.11824893951416016,1566300854.7297056,1454.7168700695038,21.530606985092163,554.3580570220946,18.934484243392944,1.2343778610229492,15.400758028030396,1454.4955141544342,exp4,16968,16968,1,1,1,4096,4096,0,rp.session.login4.mturilli1.018128.0001,9.01579999923706,8.800306797027588,1535.9424998760226,1486.3936319351196,428.9228539466858,554.3656811714171,21.15390253067017,151.66464948654175,0,1454.7241020202634
rp.session.login4.mturilli1.018129.0000,7.817032814025879,10352.987189054491,3176.338858127594,7.141385793685912,0.0008192062377929688,0.118818998336792,1566380325.3789792,3133.5265531539917,210.30900382995603,2232.9660720825195,200.7501389980316,3.8542630672454834,64.52288699150085,3133.3153450489044,exp4,68880,68880,1,1,1,16384,16384,0,rp.session.login4.mturilli1.018129.0000,9.388499975204466,8.290527105331421,3230.290199995041,3180.8453159332275,1709.3771030902865,2232.9869809150696,85.741379737854,627.8472814559938,0,3133.5472240448
