uid,p2overhead
unit.000168,0.007152
unit.000169,0.007078
unit.000170,0.007402
unit.000171,0.008224
unit.000172,0.007442
unit.000173,0.006929
unit.000174,0.007496
unit.000175,0.007688
unit.000176,0.007411
unit.000177,0.061433
unit.000178,0.007429
unit.000179,0.007743
unit.000180,0.010406
unit.000181,0.00731
unit.000182,0.007242
unit.000183,0.00756
unit.000184,0.007293
unit.000185,0.007208
unit.000186,0.007538
unit.000187,0.008583
unit.000188,0.007615
unit.000189,0.006459
unit.000190,0.008014
unit.000191,0.006387
unit.000192,0.007697
unit.000193,0.006544
unit.000194,0.007731
unit.000195,0.009266
unit.000196,0.009917
unit.000197,0.007882
unit.000198,0.062499
unit.000199,0.006866
unit.000200,0.007807
unit.000201,0.008472
unit.000202,0.009136
unit.000203,0.009171
unit.000204,0.007155
unit.000205,0.008517
unit.000206,0.03216
unit.000207,0.007492
unit.000208,0.008608
unit.000209,0.007793
unit.000210,0.007192
unit.000211,0.006034
unit.000212,0.005559
unit.000213,0.00578
unit.000214,0.008889
unit.000215,0.005339
unit.000216,0.007272
unit.000217,0.007251
unit.000218,0.063174
unit.000219,0.007478
unit.000220,0.007124
unit.000221,0.007951
unit.000222,0.007497
unit.000223,0.007363
unit.000224,0.007466
unit.000225,0.007013
unit.000226,0.009609
unit.000227,0.007026
unit.000228,0.008103
unit.000229,0.009253
unit.000230,0.008157
unit.000231,0.006104
unit.000232,0.006716
unit.000233,0.008494
unit.000234,0.008317
unit.000235,0.008191
unit.000236,0.007042
unit.000237,0.006382
unit.000238,0.008179
unit.000239,0.060662
unit.000240,0.006929
unit.000241,0.008074
unit.000242,0.00818
unit.000243,0.008085
unit.000244,0.007888
unit.000245,0.007704
unit.000246,0.007728
unit.000247,0.041265
unit.000248,0.014768
unit.000249,0.00583
unit.000250,0.00741
unit.000251,0.007532
unit.000252,0.005858
unit.000253,0.00613
unit.000254,0.007034
unit.000255,0.007777
unit.000256,0.007336
unit.000257,0.00725
unit.000258,0.007255
unit.000259,0.067442
unit.000260,0.008359
unit.000261,0.008327
unit.000262,0.006546
unit.000263,0.008859
unit.000264,0.008736
unit.000265,0.007895
unit.000266,0.008083
unit.000267,0.00914
unit.000268,0.006849
unit.000269,0.007254
unit.000270,0.007886
unit.000271,0.006939
unit.000272,0.008133
unit.000273,0.008062
unit.000274,0.007809
unit.000275,0.007993
unit.000276,0.008199
unit.000277,0.008365
unit.000278,0.008256
unit.000279,0.008179
unit.000280,0.060884
unit.000281,0.008245
unit.000282,0.007988
unit.000283,0.008694
unit.000284,0.008106
unit.000285,0.008609
unit.000286,0.007979
unit.000287,0.009188
unit.000288,0.041092
unit.000289,0.009424
unit.000290,0.007777
unit.000291,0.008479
unit.000292,0.007064
unit.000293,0.007413
unit.000294,0.007537
unit.000295,0.008204
unit.000296,0.00862
unit.000297,0.008695
unit.000298,0.006055
unit.000299,0.007801
unit.000300,0.062348
unit.000301,0.007892
unit.000302,0.009296
unit.000303,0.008056
unit.000304,0.008143
unit.000305,0.007928
unit.000306,0.007679
unit.000307,0.006177
unit.000308,0.007931
unit.000309,0.008939
unit.000310,0.008532
unit.000311,0.008371
unit.000312,0.007901
unit.000313,0.006807
unit.000314,0.00802
unit.000315,0.008495
unit.000316,0.008361
unit.000317,0.0084
unit.000318,0.008369
unit.000319,0.008372
unit.000320,0.006513
unit.000321,0.073112
unit.000322,0.008431
unit.000323,0.007036
unit.000324,0.008304
unit.000325,0.009181
unit.000326,0.009193
unit.000327,0.008679
unit.000328,0.006967
unit.000329,0.041535
unit.000330,0.006467
unit.000331,0.006332
unit.000332,0.008585
unit.000333,0.009061
unit.000334,0.00881
unit.000335,0.006154
unit.000336,0.008839
unit.000337,0.008618
unit.000338,0.008073
unit.000339,0.007884
unit.000340,0.007763
unit.000341,0.050912
unit.000342,0.006843
unit.000343,0.008094
unit.000344,0.007819
unit.000345,0.008113
unit.000346,0.008119
unit.000347,0.007943
unit.000348,0.007791
unit.000349,0.005934
unit.000350,0.00783
unit.000351,0.007535
unit.000352,0.008331
unit.000353,0.008158
unit.000354,0.007921
unit.000355,0.010883
unit.000356,0.007977
unit.000357,0.008185
unit.000358,0.008944
unit.000359,0.008348
unit.000360,0.010736
unit.000361,0.008754
unit.000362,0.061638
unit.000363,0.007804
unit.000364,0.008091
unit.000365,0.007908
unit.000366,0.006246
unit.000367,0.006044
unit.000368,0.006157
unit.000369,0.008351
unit.000370,0.03751
unit.000371,0.008638
unit.000372,0.008749
unit.000373,0.008413
unit.000374,0.008731
unit.000375,0.007674
unit.000376,0.009389
unit.000377,0.008487
unit.000378,0.008007
unit.000379,0.006073
unit.000380,0.008989
unit.000381,0.008552
unit.000382,0.072204
unit.000383,0.00895
unit.000384,0.008542
unit.000385,0.008791
unit.000386,0.008247
unit.000387,0.008401
unit.000388,0.008709
unit.000389,0.009089
unit.000390,0.008792
unit.000391,0.007952
unit.000392,0.007377
unit.000393,0.007592
unit.000394,0.006102
unit.000395,0.006068
unit.000396,0.006333
unit.000397,0.007249
unit.000398,0.005444
unit.000399,0.007705
unit.000400,0.005988
unit.000401,0.008034
unit.000402,0.006579
unit.000403,0.063749
unit.000404,0.010645
unit.000405,0.008641
unit.000406,0.009162
unit.000407,0.00769
unit.000408,0.007445
unit.000409,0.008425
unit.000410,0.008569
unit.000411,0.042538
unit.000412,0.008884
unit.000413,0.007632
unit.000414,0.008432
unit.000415,0.008069
unit.000416,0.006824
unit.000417,0.007989
unit.000418,0.007275
unit.000419,0.008115
unit.000420,0.007664
unit.000421,0.008544
unit.000422,0.007666
unit.000423,0.06916
unit.000424,0.006078
unit.000425,0.008746
unit.000426,0.01645
unit.000427,0.006634
unit.000428,0.008015
unit.000429,0.006312
unit.000430,0.005861
unit.000431,0.009491
unit.000432,0.009177
unit.000433,0.008609
unit.000434,0.008658
unit.000435,0.008203
unit.000436,0.008545
unit.000437,0.006422
unit.000438,0.008492
unit.000439,0.00909
unit.000440,0.008965
unit.000441,0.00885
unit.000442,0.006934
unit.000443,0.00964
unit.000444,0.101848
unit.000445,0.008981
